technique,learning_rate,checkpoint,similarity_score,baseline_similarity_score,average_similarity_score_reduction,average_similarity_score_reduction_percent,utility_pass_at_1,baseline_utility_pass_at_1,utility_retention,utility_retention_percent,unlearningeval_file,utilityeval_file
npo,1e-6,12,0.9020994209663454,0.9005944852858712,-0.001504935680474273,-0.16710469640468306,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-1e-6-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-1e-6_subfolder_checkpoint-12.eval_results.json
npo,1e-5,4,0.8610139627966703,0.9005944852858712,0.03958052248920085,4.394932806704563,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-1e-5-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-1e-5_subfolder_checkpoint-4.eval_results.json
npo,1e-5,8,0.6643530714790045,0.9005944852858712,0.2362414138068667,26.231718899752956,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-1e-5-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-1e-5_subfolder_checkpoint-8.eval_results.json
npo,1e-5,12,0.5002508529222903,0.9005944852858712,0.40034363236358084,44.45326269530751,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-1e-5-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-1e-5_subfolder_checkpoint-12.eval_results.json
npo,5e-5,4,0.267906382665195,0.9005944852858712,0.6326881026206761,70.25227368784577,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-5e-5-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-5e-5_subfolder_checkpoint-4.eval_results.json
npo,5e-5,8,0.13678371475885645,0.9005944852858712,0.7638107705270147,84.81184184517431,1.0,0.99,1.0101010101010102,101.01010101010101,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-5e-5-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-5e-5_subfolder_checkpoint-8.eval_results.json
npo,5e-5,12,0.07859506056543356,0.9005944852858712,0.8219994247204376,91.27298003157487,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-5e-5-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-5e-5_subfolder_checkpoint-12.eval_results.json
npo,1e-4,4,0.08609719601049629,0.9005944852858712,0.8144972892753749,90.4399596691771,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-1e-4-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-1e-4_subfolder_checkpoint-4.eval_results.json
npo,1e-4,8,0.060522673333112904,0.9005944852858712,0.8400718119527583,93.27969754179635,0.95,0.99,0.9595959595959596,95.95959595959596,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-1e-4-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-1e-4_subfolder_checkpoint-8.eval_results.json
npo,1e-4,12,0.05076990466101778,0.9005944852858712,0.8498245806248533,94.36262319051374,0.89,0.99,0.898989898989899,89.8989898989899,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-1e-4-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-1e-4_subfolder_checkpoint-12.eval_results.json
prod,5e-5,4,0.8183616188129106,0.9005944852858712,0.08223286647296058,9.130953810677378,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-5e-5-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-5e-5_subfolder_checkpoint-4.eval_results.json
prod,5e-5,8,0.7578589422299434,0.9005944852858712,0.14273554305592773,15.849035874411324,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-5e-5-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-5e-5_subfolder_checkpoint-8.eval_results.json
prod,5e-5,12,0.7652252626784191,0.9005944852858712,0.1353692226074521,15.031096105866396,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-prod-lr-5e-5-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-prod-lr-5e-5_subfolder_checkpoint-12.eval_results.json
